,Runoff_mmd,pcp_era5,sf_era5,smlt_era5,pev_era5,t2m_era5,asn_era5,snowc_era5,sde_era5,sd_era5,swvl1_era5
1950/1/1,,0.473892778,0.472369462,0,-0.436916743,253.9699711,0.853992989,94.18489838,0.81873891,0.145744895,0.21701318
1950/1/2,,0.715817988,0.711981535,0,-1.011969576,257.6502832,0.847140954,94.18489838,0.813205371,0.146140068,0.216236547
1950/1/3,,0.092003025,0.08993984,0,-0.643482084,255.6417426,0.84094623,94.18489838,0.805314278,0.146649452,0.215458304
1950/1/4,,6.089549065,3.133001566,0,0.001095151,268.6664313,0.842662679,94.18489838,0.816819352,0.149719426,0.215864033
1950/1/5,,2.040343523,1.976725936,0,-3.616792039,261.4276005,0.822316038,94.18489838,0.803259058,0.153631711,0.217505708
1950/1/6,,0.000543565,0.00025808,0,-0.328139478,247.0913858,0.815164514,94.18489838,0.794519314,0.153917319,0.21615845
1950/1/7,,0.025246957,0.021333203,0,-0.093538155,246.1720203,0.807192089,94.18489838,0.78909927,0.153888622,0.215170413
1950/1/8,,0.209656298,0.203011706,0,-0.343123842,243.1994177,0.800237833,94.18489838,0.787065067,0.15400964,0.214280754
1950/1/9,,0.012965243,0.012455238,0,-0.123546752,239.0254833,0.792995342,94.18489838,0.785418931,0.15405232,0.213389128
1950/1/10,,0.003005642,0.003386657,0,-0.070324775,240.070021,0.785045846,94.18489838,0.782866046,0.154053255,0.212721899
1950/1/11,,3.163378954,3.15914464,0,-0.3560609,252.2463347,0.787959301,94.18489838,0.800171976,0.155253186,0.212192282
1950/1/12,,1.292540669,1.287931323,0,-1.074635757,253.1374468,0.805136687,94.18489838,0.843339734,0.158251648,0.21174936
1950/1/13,,0.363715142,0.360904098,0,-0.660613004,250.8082067,0.799881749,94.18489838,0.840468763,0.158498562,0.211106762
1950/1/14,,11.53699684,11.53458118,0,-0.041984764,258.6094947,0.817766042,94.18489838,0.891846037,0.162602152,0.210704938
1950/1/15,,6.13835001,6.134851456,0,-2.217618979,254.9849985,0.859772333,94.18489838,1.021580016,0.175311553,0.210751489
1950/1/16,,2.813957214,2.811208487,0,-0.569828171,249.7868731,0.855540057,94.18489838,1.026029895,0.176748171,0.210068107
1950/1/17,,3.913596153,3.908744574,0,-2.172444243,253.985485,0.859585815,94.18489838,1.09141855,0.181994304,0.209513381
1950/1/18,,0.440843612,0.435428053,0,-0.777822189,244.6729784,0.853439983,94.18489838,1.088325248,0.182674116,0.208901435
1950/1/19,,1.880308032,1.876152277,0,-0.486328183,243.8801532,0.850692946,94.18489838,1.111521639,0.184402176,0.208309188
1950/1/20,,0.025895627,0.022197584,0,-0.265882502,240.0449481,0.84409148,94.18489838,1.111291637,0.184832288,0.207753137
1950/1/21,,0.020636838,0.017020829,0,-0.177972469,238.4033701,0.836171517,94.18489838,1.103768171,0.184830448,0.20723024
1950/1/22,,0.131065413,0.129873648,0,-0.169538032,239.1101068,0.828242138,94.18489838,1.097158968,0.184838211,0.206834525
1950/1/23,,1.480713606,1.478728056,0,-0.411583376,245.6033376,0.827386897,94.18489838,1.114448706,0.186174564,0.206625417
1950/1/24,,0.005752358,0.004128942,0,-0.248108724,238.8891113,0.820757018,94.18489838,1.110033712,0.186395614,0.206270397
1950/1/25,,7.66343689,7.658498764,0,-0.1941349,241.9240753,0.822509007,94.18489838,1.135066519,0.188160838,0.205809981
1950/1/26,,8.101828575,8.060213089,0,-0.300943913,256.8429047,0.854702828,94.18489838,1.296612826,0.197908994,0.205857456
